PTY,DISTRICT_N,VOTES
R,109907,940
D,109908,45
I,109908,3
R,109908,182
D,109910,68
I,109910,7
R,109910,204
D,109911,651
I,109911,79
R,109911,3194
D,109912,81
I,109912,17
R,109912,581
D,109913,125
I,109913,13
R,109913,652
D,109914,41
I,109914,6
R,109914,207
I,110901,47
R,110901,398
I,110902,313
R,110902,2838
I,110905,62
R,110905,645
I,110906,36
R,110906,400
I,110907,39
R,110907,490
I,110908,42
R,110908,351
D,111901,49
I,111901,1953
R,111901,18761
D,111902,7
I,111902,99
R,111902,1301
I,111903,151
R,111903,1588
I,112901,675
R,112901,6542
I,112905,74
R,112905,859
I,112906,63
R,112906,758
I,112907,46
R,112907,649
I,112908,105
R,112908,1202
I,112909,40
R,112909,449
I,112910,44
R,112910,539
I,114901,737
R,114901,4204
I,114902,96
R,114902,1341
I,114904,74
R,114904,945
D,115901,214
I,115901,25
R,115901,247
D,115902,62
I,115902,6
R,115902,73
D,115903,41
I,115903,2
R,115903,46
I,116901,291
R,116901,2502
I,116902,119
R,116902,969
I,116903,567
R,116903,1936
I,116905,1277
R,116905,7273
I,116906,197
R,116906,1841
I,116908,618
R,116908,4879
I,116909,101
R,116909,1042
I,116910,112
R,116910,860
I,116915,135
R,116915,1015
I,116916,28
R,116916,250
I,117901,177
R,117901,2056
I,117903,107
R,117903,1234
I,117904,224
R,117904,2449
I,117907,73
R,117907,834
I,118902,38
R,118902,686
I,119901,47
R,119901,760
I,119902,114
R,119902,2245
D,119903,37
I,119903,35
R,119903,824
D,120901,603
R,120901,2392
D,120902,118
R,120902,729
D,120905,173
R,120905,1446
D,121902,85
I,121902,57
R,121902,1100
I,121903,144
R,121903,2754
I,121904,611
R,121904,4123
I,121905,199
R,121905,2617
I,121906,15
R,121906,571
D,122901,440
I,122901,38
R,122901,536
D,122902,72
I,122902,7
R,122902,97
D,123905,2029
R,123905,8474
D,123907,10379
R,123907,4106
D,123908,2206
R,123908,8297
D,123910,25914
R,123910,17754
D,123913,94
R,123913,548
D,123914,648
R,123914,2512
D,124901,1678
I,124901,68
R,124901,248
D,125901,4723
R,125901,2558
D,125902,504
R,125902,241
D,125903,688
R,125903,1662
D,125905,674
I,125905,2
R,125905,371
D,125906,74
R,125906,71
D,126901,1311
I,126901,186
R,126901,4874
D,126902,4502
I,126902,625
R,126902,16867
D,126903,2533
I,126903,316
R,126903,9622
D,126904,261
I,126904,48
R,126904,1675
D,126905,1738
I,126905,276
R,126905,8106
D,126906,206
I,126906,33
R,126906,576
D,126907,238
I,126907,28
R,126907,1365
D,126908,613
I,126908,94
R,126908,1606
D,126911,394
I,126911,112
R,126911,2564
I,127901,162
R,127901,1084
I,127903,84
R,127903,880
I,127904,99
R,127904,986
I,127905,47
R,127905,459
I,127906,103
R,127906,820
D,128901,504
I,128901,51
R,128901,1119
D,128902,443
I,128902,32
R,128902,577
D,128903,144
I,128903,7
R,128903,222
D,128904,173
I,128904,12
R,128904,689
I,129901,461
R,129901,4157
I,129902,1986
R,129902,10713
I,129903,445
R,129903,4118
I,129904,314
R,129904,3406
I,129905,481
R,129905,5043
I,129906,966
R,129906,5563
I,129910,120
R,129910,1480
D,130901,3404
I,130901,815
R,130901,15991
D,130902,705
I,130902,205
R,130902,3420
D,131001,102
R,131001,65
I,132902,32
R,132902,335
D,133901,226
I,133901,88
R,133901,1319
D,133902,166
I,133902,36
R,133902,703
D,133903,2875
I,133903,850
R,133903,11635
D,133904,451
I,133904,154
R,133904,2469
D,133905,81
I,133905,16
R,133905,411
I,134901,100
R,134901,1547
I,135001,5
R,135001,90
D,136901,461
I,136901,38
R,136901,906
D,137901,3224
R,137901,2616
D,137902,531
R,137902,759
D,137903,482
R,137903,534
D,137904,522
R,137904,550
I,138902,25
R,138902,308
I,138903,61
R,138903,654
I,138904,6
R,138904,152
I,139905,215
R,139905,1803
I,139909,836
R,139909,3714
I,139911,610
R,139911,6982
I,139912,173
R,139912,2554
I,140901,44
R,140901,310
I,140904,166
R,140904,1432
I,140905,68
R,140905,727
I,140907,18
R,140907,288
I,140908,67
R,140908,731
D,141901,1433
I,141901,281
R,141901,6095
D,141902,131
I,141902,38
R,141902,850
D,142901,1006
I,142901,60
R,142901,583
D,143901,444
I,143901,1
R,143901,2888
D,143902,149
R,143902,727
D,143903,292
R,143903,1558
D,143904,58
R,143904,357
D,143905,98
R,143905,629
D,143906,72
R,143906,520
D,144901,590
I,144901,67
R,144901,2666
D,144902,559
I,144902,122
R,144902,2026
D,144903,132
I,144903,11
R,144903,393
D,145901,225
I,145901,52
R,145901,1645
D,145902,34
I,145902,10
R,145902,303
R,145906,2
D,145907,159
I,145907,15
R,145907,421
D,145911,147
I,145911,31
R,145911,1459
I,146901,481
R,146901,3285
D,146902,12
I,146902,630
R,146902,6159
I,146903,30
R,146903,335
I,146904,139
R,146904,2342
I,146905,73
R,146905,848
I,146906,424
R,146906,3413
I,146907,195
R,146907,3169
D,147901,139
I,147901,10
R,147901,377
D,147902,607
I,147902,86
R,147902,3053
D,147903,907
I,147903,61
R,147903,2140
I,148901,18
R,148901,295
I,148902,7
R,148902,257
I,148903,28
R,148903,241
I,148905,13
R,148905,261
D,149901,363
I,149901,51
R,149901,1877
D,149902,362
I,149902,48
R,149902,1206
I,150901,1516
R,150901,7906
I,152901,9755
R,152901,38125
I,152902,166
R,152902,1519
I,152903,189
R,152903,1242
I,152906,1141
R,152906,10997
I,152907,2170
R,152907,15535
I,152908,189
R,152908,1361
I,152909,142
R,152909,1635
I,152910,130
R,152910,1138
I,153903,46
R,153903,430
I,153904,56
R,153904,587
I,153905,24
R,153905,365
I,153907,32
R,153907,317
I,155901,357
R,155901,2874
I,156902,99
R,156902,1003
I,156905,34
R,156905,336
I,157901,175
R,157901,1721
D,158901,2024
R,158901,3572
D,158902,314
R,158902,1189
D,158904,31
R,158904,128
D,158905,541
R,158905,1610
D,158906,673
R,158906,2008
D,159901,8811
I,159901,534
R,159901,2551
I,160901,96
R,160901,1340
I,160904,80
R,160904,928
I,160905,7
R,160905,148
D,161901,120
I,161901,20
R,161901,1100
D,161903,4819
I,161903,508
R,161903,14943
D,161906,1904
I,161906,108
R,161906,1579
D,161907,541
I,161907,82
R,161907,2538
D,161908,251
I,161908,23
R,161908,819
D,161909,526
I,161909,57
R,161909,1812
D,161910,265
I,161910,73
R,161910,1608
D,161912,154
I,161912,21
R,161912,789
D,161914,11703
I,161914,714
R,161914,11260
D,161916,500
I,161916,75
R,161916,2554
D,161918,167
I,161918,45
R,161918,1032
D,161919,284
I,161919,58
R,161919,1369
D,161920,729
I,161920,116
R,161920,3599
D,161921,1313
I,161921,101
R,161921,2385
D,161922,1035
I,161922,150
R,161922,3734
D,161923,434
I,161923,46
R,161923,1273
D,161924,77
I,161924,10
R,161924,309
D,161925,76
I,161925,9
R,161925,404
D,162904,120
R,162904,352
D,163901,778
I,163901,122
R,163901,2260
D,163902,177
I,163902,24
R,163902,746
D,163903,644
I,163903,97
R,163903,1167
D,163904,1218
I,163904,138
R,163904,2609
D,163908,3213
I,163908,596
R,163908,7201
I,164901,56
R,164901,704
I,165901,5084
R,165901,36097
I,165902,250
R,165902,2599
D,166901,497
I,166901,66
R,166901,1621
D,166902,73
I,166902,6
R,166902,326
D,166903,242
I,166903,28
R,166903,954
D,166904,719
I,166904,84
R,166904,2043
D,166905,262
I,166905,47
R,166905,912
D,166907,35
I,166907,10
R,166907,193
D,167901,12
I,167901,84
R,167901,1353
I,167902,21
R,167902,415
I,167904,12
R,167904,218
I,168901,107
R,168901,1229
I,168902,21
R,168902,333
I,168903,21
R,168903,283
I,169901,257
R,169901,3864
I,169902,91
R,169902,1120
I,169906,51
R,169906,719
I,169908,10
R,169908,151
I,169909,54
R,169909,617
I,169910,26
R,169910,420
I,169911,51
R,169911,1013
D,170908,67
I,170908,9
R,170908,219
I,171901,386
R,171901,3832
I,171902,29
R,171902,409
I,172902,550
R,172902,1915
I,172905,255
R,172905,1825
I,173901,29
R,173901,566
D,174901,110
I,174901,12
R,174901,498
D,174902,202
I,174902,32
R,174902,1098
D,174903,184
I,174903,16
R,174903,909
D,174904,5215
I,174904,435
R,174904,8673
D,174906,169
I,174906,30
R,174906,939
D,174908,308
I,174908,25
R,174908,1176
D,174909,58
I,174909,4
R,174909,486
D,174910,49
I,174910,7
R,174910,553
D,174911,159
I,174911,32
R,174911,933
D,175902,286
I,175902,42
R,175902,1403
D,175903,2054
I,175903,176
R,175903,5538
D,175904,251
I,175904,31
R,175904,1055
D,175905,145
I,175905,16
R,175905,582
D,175907,414
I,175907,36
R,175907,1255
D,175910,270
I,175910,35
R,175910,1038
D,175911,208
I,175911,31
R,175911,724
I,176901,113
R,176901,938
I,176902,254
R,176902,1831
I,176903,75
R,176903,1305
I,177901,90
R,177901,673
I,177902,385
R,177902,2293
I,177903,61
R,177903,677
I,177905,37
R,177905,302
D,178901,298
R,178901,301
D,178902,890
R,178902,1013
D,178903,2064
R,178903,4250
D,178904,35844
R,178904,30359
D,178905,282
R,178905,169
D,178906,233
R,178906,589
D,178908,279
R,178908,741
D,178909,3501
R,178909,1685
D,178912,1249
R,178912,1637
D,178913,574
R,178913,788
D,178914,4151
R,178914,9602
D,178915,1425
R,178915,471
I,179901,173
R,179901,2217
I,180902,39
R,180902,534
I,180903,52
R,180903,341
I,180904,96
R,180904,892
I,181901,398
R,181901,5054
I,181905,204
R,181905,3194
I,181906,689
R,181906,3724
I,181907,525
R,181907,8068
I,181908,539
R,181908,6623
I,182901,81
R,182901,767
I,182902,65
R,182902,1086
D,182903,3
I,182903,490
R,182903,4341
I,182904,95
R,182904,1516
I,182905,20
R,182905,218
I,182906,47
R,182906,513
D,183901,192
I,183901,15
R,183901,841
D,183902,1353
I,183902,79
R,183902,5950
D,183904,81
I,183904,9
R,183904,652
D,184901,85
I,184901,58
R,184901,1130
D,184902,842
I,184902,265
R,184902,6292
D,184903,2773
I,184903,732
R,184903,16724
D,184904,233
I,184904,90
R,184904,1971
D,184907,1366
I,184907,493
R,184907,10224
D,184908,261
I,184908,84
R,184908,1909
D,184909,201
I,184909,68
R,184909,2157
D,184911,91
I,184911,31
R,184911,705
I,185901,56
R,185901,302
I,185902,51
R,185902,645
I,185903,121
R,185903,942
I,185904,11
R,185904,208
D,186901,362
I,186901,24
R,186901,393
D,186902,1226
I,186902,103
R,186902,1427
D,186903,172
I,186903,8
R,186903,455
I,187901,58
R,187901,793
I,187903,195
R,187903,1418
I,187904,116
R,187904,1409
I,187906,56
R,187906,599
I,187907,1015
R,187907,9235
I,187910,129
R,187910,1707
I,188901,5743
R,188901,37535
I,188902,91
R,188902,937
I,188903,127
R,188903,837
I,188904,670
